year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url,image_url
1998,Porsche,996 911,"121,400 Miles Shown – TMU",Clean (IL),"Naperville, IL 60565",6.0L V8,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver Metallic,Graphite Grey,41,24748,10/10/21,https://carsandbids.com/auctions/22fwfPOd/1999-porsche-911-carrera-3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/3OzxeE5Y.V0DCxzd7H-(edit).jpg?t=163287269440"
1999,Porsche,996 911,"94,348 miles",Clean (TX),"Dripping Springs, TX 78620",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Convertible,Arctic Silver Metallic,Graphite Grey,1,17067,12/1/22,https://carsandbids.com/auctions/eKGBavh1/1999-porsche-911-carrera-cabriolet-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/ee7f173e46ec801a48d1673c50f9cebaa1bf2854/photos/9n2yjGkG-8XLeg3Q8nm-(edit).jpg?t=166854414908"
1999,Porsche,996 911,"145,406 miles",Clean (CA),"Oakland, CA 94618",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Coupe,Arctic Silver Metallic,Black,7,16278,2/16/23,https://carsandbids.com/auctions/2iVUi9iG/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8864cd06c16cf34eddf5229bf01bf6bfafe9d766/photos/3gAaXGxz-A0n4PRP1tZ-(edit).jpg?t=167484819698"
2002,Porsche,996 911,"89,373 miles",Clean (MD),"Sykesville, MD 21784",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Olive Green,Black/Tartan,14,21394,12/22/23,https://carsandbids.com/auctions/MBn3ihTv/2002-porsche-911-carrera-coupe-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c51905b0000b639a185eeb080dd879bf007f5604/photos/35JMYZ8R-9WwxFtH9Vc-(edit).jpg?t=170013198707"
2002,Porsche,996 911,"60,356 miles",Clean (CA),"Inverness, CA 94937",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Lapis Blue Metallic,Graphite Grey,5,23576,6/15/23,https://carsandbids.com/auctions/Sr6b02mL/2002-porsche-911-carrera-4-cabriolet-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/3pn2N6ZW-CtS4QZAx04-(edit).jpg?t=168701721662"
2004,Porsche,996 911,"114,470 miles",Clean (CA),"Los Gatos, CA 95032",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Black,Black,4,39493,4/14/24,https://carsandbids.com/auctions/gEKG895i/2004-porsche-911-turbo-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/35Nq01lR-4GwxDskbPO-(edit).jpg?t=171190636585"
2001,Porsche,996 911,"53,934 miles",Clean (WA),"Bonney Lake, WA 98391",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-speed),Coupe,Seal Grey Metallic,Graphite Grey,5,47107,6/23/20,https://carsandbids.com/auctions/beqcdWFM/2001-porsche-911-turbo-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/5a0782a85481fa3b119f02e7897ea3b11e56d666/photos/UcjdIC1pr.jpg?t=159528613600"
2004,Porsche,996 911,"157,588 miles",Clean (CA),"Salt Lake City, UT 84115",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Black,Black,2,18665,10/12/23,https://carsandbids.com/auctions/FmYHyNZQ/2004-porsche-911-carrera-4s-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/r4V7kpzP-K6fcBKCl-Z-(edit).jpg?t=169905951671"
2000,Porsche,996 911,"181,177 miles",Clean (CA),"Boulder Creek, CA 95006",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Polar Silver Metallic,Black,6,14161,6/19/22,https://carsandbids.com/auctions/LtTThRRk/2000-porsche-911-carrera-cabriolet-3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/20309e251cb7341d1fb94cb5d4546882260d2202/photos/9QqyORvk-2zZjQ1YseK-(edit).jpg?t=165655797329"
2004,Porsche,996 911,"102,731 miles",Clean (AZ),"Elgin, AZ 85611",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Seal Grey Metallic,Black,0,20638,8/5/25,https://carsandbids.com/auctions/Th3uAGq8/2004-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/f50baa0fded5bb62b35f8553a743bb81347efcf4/photos/exterior/9ldJG80E-uwtbyoK/edit/CnBuh.jpg?t=175604926835"
