year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url
2016,Mazda,ND Miata,"61,000",Clean (FL),"Bradenton, FL 34212",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Meteor Gray Mica,Black,9,13864,09/10/25,https://carsandbids.com/auctions/GeVubTIV/2016-mazda-mx-5-miata-club
2016,Mazda,ND Miata,"25,000",Clean (CA),"Pasadena, CA 91104",2.0L Turbocharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic,Black,22,18825,08/30/25,https://carsandbids.com/auctions/TJ7g6esz/2016-mazda-mx-5-miata-grand-touring
2016,Mazda,ND Miata,"64,100",Clean (TX),"Austin, TX 78735",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Metallic,Black,3,16160,07/21/24,https://carsandbids.com/auctions/IK8Q7M05/2016-mazda-mx-5-miata-club
2023,Mazda,ND Miata,"2,472 miles",Clean (CA),"Belmont, CA 94002",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,20,28759,4/20/25,https://carsandbids.com/auctions/TsuZHRsY/2023-mazda-mx-5-miata-club-3
2021,Mazda,ND Miata,"75,746 miles",Clean (NJ),"Manville, NJ 08835",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic White,Black,4,17943,3/21/26,https://carsandbids.com/auctions/QbD7WWJS/2021-mazda-mx-5-miata-club
2024,Mazda,ND Miata,"2,928 miles",Clean (TX),"Plano, TX 75074",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Aero Gray,Black,7,31119,12/1/25,https://carsandbids.com/auctions/pJRlBzzm/2024-mazda-mx-5-miata-club
2019,Mazda,ND Miata,"33,674 miles",Clean (PA),"York, PA 17403",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl,Auburn,2,24379,5/14/25,https://carsandbids.com/auctions/9Dx7CHHP/2019-mazda-mx-5-miata-grand-touring-3
2016,Mazda,ND Miata,"25,551 miles",Clean (CA),"Pasadena, CA 91104",2.0L Turbocharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic,Black,22,17294,8/16/25,https://carsandbids.com/auctions/srmRtv5X/2016-mazda-mx-5-miata-grand-touring-3
2016,Mazda,ND Miata,"79,742 miles",Clean (VA),"Manassas, VA 20112",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal,Black,19,16662,6/27/22,https://carsandbids.com/auctions/7XsrSvBp/2016-mazda-mx-5-miata-club-v2
2021,Mazda,ND Miata,"6,919 miles",Clean (DC),"Washington, DC 20002",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,White,3,25274,12/1/25,https://carsandbids.com/auctions/Tod4nogu/2021-mazda-mx-5-miata-grand-touring-v2
2023,Mazda,ND Miata,"5,701 miles",Clean (AL),"Troy, AL 36079",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Deep Crystal Blue Mica,Black,8,30250,5/20/25,https://carsandbids.com/auctions/52Dm7tO4/2023-mazda-mx-5-miata-club
2016,Mazda,ND Miata,"49,999 miles",Clean (NC),"Raleigh, NC 27604",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Metallic,Black,0,15204,11/4/20,https://carsandbids.com/auctions/k59yE675/2016-mazda-mx-5-miata-club
2022,Mazda,ND Miata,"8,418 miles",Clean (TX),"Fort Worth, TX 76110",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Polymetal Gray Metallic,Black,1,27128,11/16/24,https://carsandbids.com/auctions/NG3iFqYu/2022-mazda-mx-5-miata-club-v2
2018,Mazda,ND Miata,"21,453 miles",Clean (NC),"Wilmington, NC 28401",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl Mica,Black,1,19884,11/18/24,https://carsandbids.com/auctions/Uk13ZFfP/2018-mazda-mx-5-miata-grand-touring-2
2018,Mazda,ND Miata,"51,524 miles",Clean (AR),"Springdale, AR 72762",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic Metallic,Black,8,16710,2/12/25,https://carsandbids.com/auctions/7sSaOQdh/2018-mazda-mx-5-miata-club-3
2024,Mazda,ND Miata,"7,088 miles",Clean (OH),"Warren, OH 44485",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,4,28111,3/27/25,https://carsandbids.com/auctions/wn7DC9xR/2024-mazda-mx-5-grand-touring-convertible-v2
2016,Mazda,ND Miata,"32,486 miles",Clean (CA),"Loomis, CA 95650",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic,Black,7,22003,5/7/24,https://carsandbids.com/auctions/WGGw4gZ3/2016-mazda-mx-5-miata-club-2
2016,Mazda,ND Miata,"61,400 Miles Shown",Clean (AZ),"Phoenix, AZ 85027",2.0L Supercharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Metallic,Black,9,16028,1/12/26,https://carsandbids.com/auctions/SE3BdizI/2016-mazda-mx-5-miata-grand-touring
2018,Mazda,ND Miata,"21,009 miles",Clean (NC),"Wilmington, NC 28401",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl Mica,Black,1,17078,10/15/24,https://carsandbids.com/auctions/UJcvd95e/2018-mazda-mx-5-miata-grand-touring-v2
2019,Mazda,ND Miata,"8,199 miles",Clean (OH),"Dayton, OH 45402",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,6,23778,9/1/24,https://carsandbids.com/auctions/A9x14xQP/2019-mazda-mx-5-miata-club
2018,Mazda,ND Miata,"6,544 miles",Clean (FL),"Tampa, FL 33602",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,25,24594,4/6/23,https://carsandbids.com/auctions/nabsPHGZ/2018-mazda-mx-5-miata-club-2
2021,Mazda,ND Miata,"2,935 miles",Clean (NY),"Brooklyn, NY 11232",2.0L I4,Rear-wheel drive,Manual (6-Speed),Coupe,Machine Gray Metallic,White,6,29685,11/28/21,https://carsandbids.com/auctions/zV2amgcL/2021-mazda-mx-5-miata-rf-grand-touring
2017,Mazda,ND Miata,"32,504 miles",Clean (KY),"Louisville, KY 40245",2.0L Supercharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,4,20818,9/24/25,https://carsandbids.com/auctions/i9o4JJVY/2017-mazda-mx-5-miata-rf-club-2
2020,Mazda,ND Miata,"11,631 miles",Clean (WA),"Lynnwood, WA 98037",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal,Black,7,29803,7/4/25,https://carsandbids.com/auctions/KTkQIcvN/2020-mazda-mx-5-miata-rf-club-v2
2022,Mazda,ND Miata,"8,505 miles",Clean (ID),"Star, ID 83669",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Platinum Quartz Metallc,Terracotta,16,35542,1/10/26,https://carsandbids.com/auctions/D0sRX4I8/2022-mazda-mx-5-miata-rf-grand-touring
2016,Mazda,ND Miata,"28,494 miles",Clean (VA),"Alexandria, VA 22314",2.0L Supercharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic Metallic,Black,17,24084,10/7/22,https://carsandbids.com/auctions/fSlqPL2l/2016-mazda-mx-5-miata-club
