year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url
2015,BMW,F8X M4,"47,191 miles",Clean (TN),"Murfreesboro, TN 37128",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Yas Marina Blue Metallic,Silverstone,10,47891,12/20/21,https://carsandbids.com/auctions/Rr6YICtu/2015-bmw-m4-coupe-v2
2017,BMW,F8X M4,"33,870 miles",Clean (CO),"Castle Rock, CO 80108",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Sakhir Orange Metallic,Sakhir Orange,4,49554,10/19/25,https://carsandbids.com/auctions/lwUMVmI5/2017-bmw-m4-coupe-competition-package-v2
2018,BMW,F8X M4,"21,619 miles",Clean (MD),"Silver Spring, MD 20906",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Black Sapphire Metallic,Black,0,47987,1/19/26,https://carsandbids.com/auctions/tazn0h6O/2018-bmw-m4-coupe-competition-package-2
2016,BMW,F8X M4,"47,254 miles",Clean (TN),"Hendersonville, TN 37075",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Austin Yellow Metallic,Black,2,36052,10/20/24,https://carsandbids.com/auctions/DCilLUie/2016-bmw-m4-coupe-competition-package-v2
2018,BMW,F8X M4,"5,221 miles",Clean (NY),"Jericho, NY 11753",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Black Sapphire Metallic,Black,2,63086,9/20/22,https://carsandbids.com/auctions/K9EjHvIH/2018-bmw-m4-convertible-competition-package-v2
2016,BMW,F8X M4,"9,959 miles",Clean (CA),"Hermosa Beach, CA 90254",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral Grey Metallic,Black,2,79845,11/11/25,https://carsandbids.com/auctions/cURYxPY8/2016-bmw-m4-gts-v2
2016,BMW,F8X M4,"76,268 miles",Clean (TX),"San Antonio, TX 78232",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Sakhir Orange Metallic,Cohiba Brown/Black,1,28981,5/28/24,https://carsandbids.com/auctions/g4ai18eW/2016-bmw-m4-coupe-3
2015,BMW,F8X M4,"81,237 miles",Clean (CA),"Santa Monica, CA 90403",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Black Sapphire Metallic,Anthracite,2,37688,8/25/22,https://carsandbids.com/auctions/xtSV2ceN/2015-bmw-m4-coupe-3
2015,BMW,F8X M4,"94,055 miles",Clean (MT),"Boca Raton, FL 33432",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Black Sapphire Metallic,Sonoma Beige,3,21877,3/8/26,https://carsandbids.com/auctions/gksbudwA/2015-bmw-m4-convertible-2
2015,BMW,F8X M4,"55,929 miles",Clean (CA),"Hayward, CA 94545",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Alpine White,Black,0,35916,4/6/26,https://carsandbids.com/auctions/QEKoNCP3/2015-bmw-m4-coupe-v2
2016,BMW,F8X M4,"30,025 miles",Clean (CA),"Hercules, CA 94547",3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Convertible,Black Sapphire Metallic,Sakhir Orange,17,43623,11/2/23,https://carsandbids.com/auctions/7QCs90gx/2016-bmw-m4-convertible-3
2016,BMW,F8X M4,"27,837 miles",Clean (CA),"El Dorado Hills, CA 95762",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Silverstone Metallic,Silverstone,2,39311,3/3/24,https://carsandbids.com/auctions/QUdLE4rX/2016-bmw-m4-convertible
2016,BMW,F8X M4,"37,975 miles",Clean (FL),"Pensacola, FL 32505",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Black Sapphire Metallic,Sakhir Orange,1,40709,8/18/21,https://carsandbids.com/auctions/OZM4OtBJ/2016-bmw-m4-coupe-2
2018,BMW,F8X M4,"98,158 miles",Clean (NJ),"Union, NJ 07083",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Black Sapphire Metallic,Sakhir Orange,10,28052,1/17/26,https://carsandbids.com/auctions/wFqk467s/2018-bmw-m4-coupe-3
2016,BMW,F8X M4,"33,340 miles",Clean (CA),"El Dorado Hills, CA 95762",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Silverstone Metallic,Silverstone,2,38007,2/8/24,https://carsandbids.com/auctions/87XwXaHC/2016-bmw-m4-convertible-3
2015,BMW,F8X M4,"61,283 miles",Clean (MT),"Los Gatos, CA 95030",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Mineral Gray Metallic,Sakhir Orange,13,32212,4/19/24,https://carsandbids.com/auctions/6uLONCRO/2015-bmw-m4-coupe
2015,BMW,F8X M4,"56,105 miles",Clean (IL),"Arlington Heights, IL 60005",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Yas Marina Blue Metallic,Sakhir Orange,14,31768,7/28/24,https://carsandbids.com/auctions/iCPU6zUj/2015-bmw-m4-coupe-v2
2017,BMW,F8X M4,"72,299 miles",Clean (FL),"Vero Beach, FL 32968",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Convertible,Yas Marina Blue Metallic,Silverstone,0,31508,11/10/23,https://carsandbids.com/auctions/nBow8w3N/2017-bmw-m4-convertible-competition-package
2017,BMW,F8X M4,"29,913 miles",Clean (CO),"Castle Rock, CO 80108",3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Coupe,Sakhir Orange Metallic,Sakhir Orange,5,42414,10/20/25,https://carsandbids.com/auctions/NLbWphJe/2017-bmw-m4-coupe-competition-package
