year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url,has_forced_induction,state
2016,Mazda,ND Miata,49000,Clean,"Raleigh, NC 27604",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Metallic,Black,0,16500,11/11/20,https://carsandbids.com/auctions/3pn7xADw/2016-mazda-mx-5-miata-club,0,NC
2019,Mazda,ND Miata,6400,Clean,"Allendale, NJ 07401",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,11,28501,9/24/20,https://carsandbids.com/auctions/3goJ7jAR/2019-mazda-mx-5-miata-rf-club,0,NJ
2019,Mazda,ND Miata,3200,Clean,"Rancho Santa Margarita, CA 92688",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal,Black,0,28600,9/1/20,https://carsandbids.com/auctions/rwn5zdnM/2019-mazda-mx-5-miata-club,0,CA
2017,Mazda,ND Miata,45000,Clean,"Pittsburgh, PA 15201",2.0L I4,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic White,Black,10,17800,6/25/20,https://carsandbids.com/auctions/KZp2dmLO/2017-mazda-mx-5-miata-rf-club,0,PA
2017,Mazda,ND Miata,29800,Clean,"Port Saint Lucie, FL 34953",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Blue Reflex Mica,Black,12,16592,12/24/24,https://carsandbids.com/auctions/zKFysKDV/2017-mazda-mx-5-miata-grand-touring,0,FL
2022,Mazda,ND Miata,4400,Clean,"Boynton Beach, FL 33426",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Deep Crystal Blue Mica,Black,4,30259,10/19/23,https://carsandbids.com/auctions/7Ik3TeIJ/2022-mazda-mx-5-miata-rf-club,0,FL
2016,Mazda,ND Miata,60500,Clean,"Auburn, ME 04210",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic White,Black,3,13450,09/28/23,https://carsandbids.com/auctions/JbOe1Xrr/2016-mazda-mx-5-miata-sport,0,ME
2019,Mazda,ND Miata,19600,Clean,"Collierville, TN 38017",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Racing Orange,Black,0,29711,03/29/24,https://carsandbids.com/auctions/piwWB918/2019-mazda-mx-5-miata-30th-anniversary-edition,0,TN
2019,Mazda,ND Miata,64800,Clean,"Lilburn, GA 30047",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Tan,4,16386,09/29/25,https://carsandbids.com/auctions/TjoJ6TPR/2019-mazda-mx-5-miata-grand-touring,0,GA
2023,Mazda,ND Miata,6600,Clean,"Fort Worth, TX 76126",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl,Black,2,27732,03/23/26,https://carsandbids.com/auctions/pqMEReIP/2023-mazda-mx-5-miata-club,0,TX
2019,Mazda,ND Miata,52300,Clean,"Knoxville, TN 37931",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Racing Orange,Black,10,29999,04/10/23,https://carsandbids.com/auctions/u9Nk2DIX/2019-mazda-mx-5-miata-30th-anniversary-edition,0,TN
2021,Mazda,ND Miata,10600,Clean,"Springfield, MA 01103",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Black,3,37146,12/28/22,https://carsandbids.com/auctions/m6qXA6Tm/2021-mazda-mx-5-miata-club,0,MA
2016,Mazda,ND Miata,14900,Clean,"Sequim, WA 98382",2.0L I4,Rear-wheel drive,Automatic (6-Speed),Convertible,Soul Red Metallic,Black,0,19856,05/21/24,https://carsandbids.com/auctions/KVdup3xf/2016-mazda-mx-5-miata-grand-touring,0,WA
2022,Mazda,ND Miata,4200,Clean,"Miami, FL 33155",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Platinum Quartz Metallic,Terracotta,6,28140,12/03/23,https://carsandbids.com/auctions/Hgtu7NRb/2022-mazda-mx-5-miata-grand-touring,0,FL
2019,Mazda,ND Miata,6100,Clean,"Bend, OR 97701",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Racing Orange,Black,4,40337,06/21/23,https://carsandbids.com/auctions/0KciCe56/2019-mazda-mx-5-miata-rf-30th-anniversary-edition,0,OR
2021,Mazda,ND Miata,26500,Clean,"San Francisco, CA 94133",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Black,1,25151,07/21/24,https://carsandbids.com/auctions/7OmyU739/2021-mazda-mx-5-miata-club,0,CA
2016,Mazda,ND Miata,14900,Clean,"Sequim, WA 98382",2.0L I4,Rear-wheel drive,Automatic (6-Speed),Convertible,Soul Red Metallic,Black,0,18765,06/13/24,https://carsandbids.com/auctions/hcWJ3YwM/2016-mazda-mx-5-miata-grand-touring,0,WA
2023,Mazda,ND Miata,6600,Clean,"Fort Worth, TX 76126",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl,Black,2,29373,03/14/26,https://carsandbids.com/auctions/gE3TXvSH/2023-mazda-mx-5-miata-club,0,TX
2024,Mazda,ND Miata,2100,Clean,"Eau Claire, WI 54703",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,3,31182,08/10/25,https://carsandbids.com/auctions/CNihcsua/2024-mazda-mx-5-miata-rf-grand-touring,0,WI
2019,Mazda,ND Miata,16800,Clean,"Pompano Beach, FL 33076",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Jet Black Mica,Black,4,21617,07/28/24,https://carsandbids.com/auctions/mddwSxUq/2019-mazda-mx-5-miata-sport,0,FL
2016,Mazda,ND Miata,72600,Clean,"Manassas, VA 20112",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal,Black,17,17991,05/12/22,https://carsandbids.com/auctions/EHG7nhjj/2016-mazda-mx-5-miata-club,0,VA
2022,Mazda,ND Miata,4100,Clean,"Williamsburg, VA 23188",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl,Black,0,31744,04/22/25,https://carsandbids.com/auctions/zZp7lYBK/2022-mazda-mx-5-miata-rf-club,0,VA
