year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url,image_url,has_forced_induction,state
2002,Porsche,996 911,144929,Clean,"Lilburn, GA 30047",3.6L Flat-6,Rear-wheel drive,Automatic (5-Speed),Convertible,Seal Grey Metallic,Black,3,10874,4/1/25,https://carsandbids.com/auctions/nlTUU4RR/2002-porsche-911-carrera-cabriolet-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9fb0fd0fa87444ae7da6d83b5ae171d6af3f1414/photos/exterior/3BAYApB4-dnACwpp_70.jpeg?t=174363112760",0,GA
2003,Porsche,996 911,8205,Clean,"Warwick, RI 02886",3.6L Turbocharged Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Black,Black,0,130959,5/8/23,https://carsandbids.com/auctions/qFEg8D04/2002-porsche-911-gt2-3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/rG5gR75g-f7S9Qwp7Ky-(edit).jpg?t=168271841087",1,RI
2003,Porsche,996 911,115301,Clean,"Canton, GA 30115",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Polar Silver Metallic,Graphite Grey,1,34384,2/28/22,https://carsandbids.com/auctions/moJpI6uV/2003-porsche-911-carrera-4s-coupe-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/rboRaJO2.BngfAA6ha-(edit).jpg?t=164459296322",0,GA
2004,Porsche,996 911,84037,Clean,"Bay Village, OH 44140",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Black,Black,7,25173,3/1/25,https://carsandbids.com/auctions/iHl397G0/2004-porsche-911-carrera-4s-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/exterior/36NEAdwO-VkkkrG8/edit/ShNjA.jpg?t=174034598685",0,OH
2002,Porsche,996 911,97893,Clean,"Beacon, NY 12508",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Black,Savanna Beige,2,19618,12/13/20,https://carsandbids.com/auctions/jnCdN54O/2002-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/da4b9237bacccdf19c0760cab7aec4a8359010b0/photos/NL1EqEbUf2.Iva48neyb.jpg?t=160754552759",0,NY
2002,Porsche,996 911,79027,Clean,"Bristol, CT 06010",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Convertible,Black,Black,0,23147,7/1/25,https://carsandbids.com/auctions/FRA6l4Go/2001-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/4822e9034b0b6b357b3f73fabdfc10e586c36f68/photos/307NkEN1-kz7Evit/edit/nGiiS.jpg?t=175060953188",0,CT
2000,Porsche,996 911,103917,Clean,"Santa Rosa, CA 95405",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Ocean Blue Metallic,Savannah Beige,6,21575,8/19/23,https://carsandbids.com/auctions/pRsZe9Ob/2000-porsche-911-carrera-coupe-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/171ab1e538119e13fa98382f268326fc825fdc20/photos/3OnVjlXj-XguCOGw0j2-(edit).jpg?t=169085820982",0,CA
1999,Porsche,996 911,36891,Clean,"Loveland, CO 80538",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver Metallic,Boxster Red,4,47811,9/9/25,https://carsandbids.com/auctions/Nu8834o3/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/3yvkZVYw-GjHpvmS/edit/_Uizr.jpg?t=175708484459",0,CO
2003,Porsche,996 911,34040,Clean,"Littleton, CO 80121",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Guards Red,Savanna Beige,3,31936,7/28/25,https://carsandbids.com/auctions/Ol0amiYY/2003-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/rNGVWpb9-yP5ig1xFse/edit/upt0s.jpg?t=175262488770",0,CO
1999,Porsche,996 911,103863,Clean,"Aptos, CA 95003",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Coupe,Vesuvio Metallic,Natural Brown,8,18988,3/28/23,https://carsandbids.com/auctions/uUi9SF8d/1999-porsche-911-carrera-coupe-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/438ad923cef6d8239e95d61e7d6849486bae11d9/photos/rwe01jvx-WSfKGRjfG_-(edit).jpg?t=167466297516",0,CA
