year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url,image_url,has_forced_induction,state
1999,Porsche,996 911,106800,Clean,"Wichita, KS 67226",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Black,Boxster Red,2,34500,4/20/26,https://carsandbids.com/auctions/3v7ZJEyv/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/b39a44f305ebdd9deab9e0d03ab553aa50a0ec3e/photos/exterior/9nE04v2r-0iQfF58/edit/hjg_a.jpg?t=177569012704",0,KS
2000,Porsche,996 911,66500,Clean,"Tampa, FL 33611",3.4L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Ocean Blue Metallic,Savanna Beige,4,21305,4/17/26,https://carsandbids.com/auctions/KV1wMjYz/2000-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/39ba75f9b610a05237adc3ca976891cd48f5832c/photos/exterior/9lb7npMK-6RR86n9/edit/FXa4B.jpg?t=177559603457",0,FL
2003,Porsche,996 911,98000,Clean,"Minneapolis, MN 55438",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Midnight Blue Metallic,Graphite Grey,1,34500,4/14/26,https://carsandbids.com/auctions/98ZZjANm/2003-porsche-911-targa,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/exterior/98wZGamX-LsDaIB2/edit/5sKd8.jpg?t=177504466606",0,MN
2000,Porsche,996 911,73700,Clean,"Windsor, CO 80550",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Black,1,23600,4/10/26,https://carsandbids.com/auctions/9e5Z02qj/2000-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/da6e8a1d4896127a9d2adf83461993b45339474c/photos/exterior/rNNZGVnE-Ks1eT5L/edit/3Wz5b.jpg?t=177456399496",0,CO
2004,Porsche,996 911,80600,Clean,"Santa Monica, CA 90402",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Carrara White,Savannah Beige,2,29750,4/8/26,https://carsandbids.com/auctions/rklqpl1R/2004-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/4822e9034b0b6b357b3f73fabdfc10e586c36f68/photos/rMNQjkdZ-mo2Q6q0Opk/edit/FBpKP.jpg?t=177419042455",0,CA
2003,Porsche,996 911,119100,Clean,"South Monroe, MI 48168",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Lapis Blue Metallic,Natural Brown,4,22500,4/3/26,https://carsandbids.com/auctions/35XoYPWZ/2003-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/51bfb8a57de0fa2a2c0fa85891abfcfeddfaf498/photos/Porsche911Carrera200320260322008.jpg?t=177429613115",0,MI
2001,Porsche,996 911,61400,Clean,"Lansing, MI 48911",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Seal Grey Metallic,Black,3,48000,3/30/26,https://carsandbids.com/auctions/356oBPVj/2001-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8e6341e27a680ffab7d98e42bef83b0dd1b0fb94/photos/exterior/KdD2Ax6L-VyEr71E/edit/hYz-v.jpg?t=177371628581",0,MI
2002,Porsche,996 911,179400,Clean,"San Jose, CA 95112",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Seal Grey Metallic,Black,7,22250,3/25/26,https://carsandbids.com/auctions/9Aj8xoMA/2002-porsche-911-carrera-4s-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/20309e251cb7341d1fb94cb5d4546882260d2202/photos/KZBpWwmG-e4kejtA/edit/EacOd.jpg?t=177318255868",0,CA
2002,Porsche,996 911,68600,Clean,"Berkey, OH 43504",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Guards Red,Black,5,37540,2/12/26,https://carsandbids.com/auctions/rE10QXdb/2002-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/exterior/KYAGk6PP-GrkzznX/edit/it9d-.jpg?t=177027921686",0,OH
2000,Porsche,996 911,84000,Clean,"Windsor, CO 80550",3.4L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Black Metallic,Savanna Beige,0,21250,2/3/26,https://carsandbids.com/auctions/9Qoq7y7k/2000-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9004500a220bf3a3d455d15ee052cf8c332606f8/photos/interior/3RZgxpbD-c_wJakU/edit/AsZhZ.jpg?t=176905767298",0,CO
2002,Porsche,996 911,75400,Clean,"Winter Park, FL 32792",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Meridian Metallic,Black,5,25250,1/21/26,https://carsandbids.com/auctions/KV0wvo7x/2002-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/39ba75f9b610a05237adc3ca976891cd48f5832c/photos/3LYxMa4o-34waa0isGi/edit/S9xkE.jpg?t=176805757550",0,FL
2004,Porsche,996 911,42800,Clean,"Littleton, CO 80121",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Arctic Silver Metallic,Black,3,60000,1/20/26,https://carsandbids.com/auctions/3gQ46qGG/2004-porsche-911-turbo-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/4822e9034b0b6b357b3f73fabdfc10e586c36f68/photos/9eBlmwzj-3VVGgUn/edit/h2o3g.jpg?t=176770936134",1,CO
2003,Porsche,996 911,104500,Clean,"Aurora, CO 80019",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Seal Gray Metallic,Graphite Gray,5,33000,1/20/26,https://carsandbids.com/auctions/KPdjq14Q/2003-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8e6341e27a680ffab7d98e42bef83b0dd1b0fb94/photos/exterior/3LQEg5BG-dgZ2yzp/edit/z1Ita.jpg?t=176584946381",0,CO
2000,Porsche,996 911,96500,Clean,"Loveland, CO 80538",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Graphite Grey,3,22000,1/16/26,https://carsandbids.com/auctions/rj0874qX/2000-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/exterior/Kd2DEZz5-3nBOW54/edit/8rTkk.jpg?t=176780952957",0,CO
2004,Porsche,996 911,58000,Clean,"Vero Beach, FL 32960",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Seal Gray Metallic,Graphite Gray,2,57000,1/13/26,https://carsandbids.com/auctions/KY05qY55/2004-porsche-911-turbo-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/exterior/3OVYR4pg-xa4JcRt/edit/aAAJU.jpg?t=176714963595",1,FL
2001,Porsche,996 911,56800,Clean,"Vancouver, WA 98662",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Rainforest Green Metallic,Black,0,25050,1/9/26,https://carsandbids.com/auctions/KZ8OVeo9/2001-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8e6341e27a680ffab7d98e42bef83b0dd1b0fb94/photos/exterior/3ozjD7aE-9OW-Dm9/edit/cPESv.jpg?t=176697895830",0,WA
2004,Porsche,996 911,64400,Clean,"Miami, FL 33146",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Arctic Silver Metallic,Black,4,59000,1/6/26,https://carsandbids.com/auctions/3yERVv2a/2004-porsche-911-turbo-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c7387fa5557775cb743f87fc02d6cb831afb20b2/photos/exterior/3gAz0vzb-OzEPFOt/edit/rrKj5.jpg?t=176590962941",1,FL
2002,Porsche,996 911,75000,Clean,"Coos Bay, OR 97420",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Black,0,23500,1/2/26,https://carsandbids.com/auctions/rE7OqRYa/2002-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/438ad923cef6d8239e95d61e7d6849486bae11d9/photos/KmA4GgXe-mQAd3dX/edit/fJoln.jpg?t=176651311560",0,OR
2000,Porsche,996 911,66500,Clean,"Tampa, FL 33611",3.4L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Ocean Blue Metallic,Savanna Beige,4,18246,12/30/25,https://carsandbids.com/auctions/KZeG1o5m/2000-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/39ba75f9b610a05237adc3ca976891cd48f5832c/photos/exterior/9lb7npMK-6RR86n9/edit/FXa4B.jpg?t=176609011180",0,FL
2002,Porsche,996 911,48700,Clean,"Fort Myers, FL 33913",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Speed Yellow,Black,7,41000,12/19/25,https://carsandbids.com/auctions/9Wg61G5B/2002-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/4822e9034b0b6b357b3f73fabdfc10e586c36f68/photos/3zxL1Y0J-Vo_6SUYNyJ/edit/y8EHY.jpg?t=176485616592",0,FL
1999,Porsche,996 911,129200,Clean,"Beaverton, OR 97007",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver Metallic,Black,0,21500,12/18/25,https://carsandbids.com/auctions/9nVeOoMX/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9004500a220bf3a3d455d15ee052cf8c332606f8/photos/exterior/9nB04oon-sGahGG8/edit/tAYF1.jpg?t=176488287914",0,OR
2002,Porsche,996 911,33500,Clean,"Pasadena, CA 91105",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Black,Black,2,28750,12/17/25,https://carsandbids.com/auctions/rJDxgp6N/2002-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/application/s-1oy7EKM/edit/IGdF7.jpg?t=176521682098",0,CA
2001,Porsche,996 911,130100,Clean,"Gilbert, AZ 85296",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Black,Black,3,17250,12/12/25,https://carsandbids.com/auctions/3od7MwW1/2001-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/438ad923cef6d8239e95d61e7d6849486bae11d9/photos/364v6R6B-voYuW8C(1)-ve5AuTWKq-.jpeg?t=176497931260",0,AZ
2000,Porsche,996 911,64600,Clean,"Santee, CA 92071",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Rainforest Green Metallic,Savannah Beige,8,41000,12/11/25,https://carsandbids.com/auctions/9AnWz0qA/2000-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/exterior/3gym2n0z-vTt_T9n/edit/jGb2H.jpg?t=176466595431",0,CA
2003,Porsche,996 911,127000,Clean,"Arlington, TX 76012",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Lapis Blue Metallic,Graphite Gray,3,32250,12/10/25,https://carsandbids.com/auctions/9Q5dakbn/2003-porsche-911-carrera-4s-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8e6341e27a680ffab7d98e42bef83b0dd1b0fb94/photos/exterior/rkyJawGL-P30Hqmr/edit/pwVlI.jpg?t=176455267567",0,TX
1999,Porsche,996 911,45200,Clean,"Vista, CA 92081",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Black,Black,0,27000,12/4/25,https://carsandbids.com/auctions/rMXAX7Qk/1999-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d32c8dde23a1411d0ef2e05bea168897e96c369b/photos/application/s-iFWDBB8/edit/FhAu6.jpg?t=176369127088",0,CA
1999,Porsche,996 911,75900,Clean,"Salt Lake City, UT 84116",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Convertible,Arctic Silver Metallic,Graphite Grey,2,19113,12/2/25,https://carsandbids.com/auctions/3vYJz56M/1999-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9004500a220bf3a3d455d15ee052cf8c332606f8/photos/exterior/rEYdL4Mb-s7qrFXk/edit/YYBCg.jpg?t=176352955526",0,UT
2002,Porsche,996 911,136800,Clean,"Monterey Park, CA 91755",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Seal Grey Metallic,Graphite Grey,0,17996,12/1/25,https://carsandbids.com/auctions/KDVJVzx0/2002-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9004500a220bf3a3d455d15ee052cf8c332606f8/photos/92vDVwvE-5J31zYq/edit/JF0GL.jpg?t=176375213446",0,CA
2001,Porsche,996 911,85600,Clean,"Puyallup, WA 98371",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Guards Red,Savanna Beige,2,19777,11/21/25,https://carsandbids.com/auctions/rbyvqXAk/2001-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/exterior/rkbq8a4g-dxmNTXM/edit/Mna2f.jpg?t=176299075721",0,WA
2003,Porsche,996 911,109000,Clean,"Loveland, CO 80538",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Lapis Blue Metallic,Natural Brown,3,20296,11/20/25,https://carsandbids.com/auctions/3zbDkQqj/2003-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/exterior/3O1XeaZg-BO1wkeu/edit/Jl8YH.jpg?t=176273113957",0,CO
2001,Porsche,996 911,76500,Clean,"Portland, OR 97220",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Metropol Blue,5,18000,11/14/25,https://carsandbids.com/auctions/92ADOwVE/2001-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/4822e9034b0b6b357b3f73fabdfc10e586c36f68/photos/exterior/9eXLv7Pj-NUrn86w/edit/1-lAm.jpg?t=176114057484",0,OR
2000,Porsche,996 911,17500,Clean,"Roswell, GA 30075",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Ocean Blue Metallic,Savanna Beige,5,35250,10/23/25,https://carsandbids.com/auctions/3g66yzxz/2000-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/30PjQnNV--jJDns9/edit/fcKxA.jpg?t=175997671168",0,GA
2001,Porsche,996 911,90800,Clean,"Saint George, UT 84770",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Convertible,Orient Red Metallic,Savanna Beige,1,20500,10/21/25,https://carsandbids.com/auctions/KVw72vlr/2001-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/exterior/35pY1VGY-7FcZi0p/edit/sfwzS.jpg?t=176011990571",0,UT
1999,Porsche,996 911,125600,Clean,"Seattle, WA 98103",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Dark Blue,Savannah Beige,4,25750,10/20/25,https://carsandbids.com/auctions/3Bvea0Wb/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8e6341e27a680ffab7d98e42bef83b0dd1b0fb94/photos/exterior/r4eEgEzk-6XYg2XQ/edit/0mE8s.jpg?t=175929325430",0,WA
2000,Porsche,996 911,76100,Clean,"San Diego, CA 92119",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Zenith Blue Metallic,Graphite Grey,12,35000,10/17/25,https://carsandbids.com/auctions/30xjNVw2/2000-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/1477bbe21e8d6b5e719c7c3ccab577fd47dd8cc3/photos/exterior/rkejxMkW-4--_KV4/edit/_RlhM.jpg?t=175987852515",0,CA
2002,Porsche,996 911,97600,Clean,"Corpus Christi, TX 78418",3.6L Flat-6,Rear-wheel drive,Automatic (5-Speed),Coupe,Seal Grey Metallic,Graphite Grey,1,15996,10/16/25,https://carsandbids.com/auctions/9aYqyXZP/2002-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/KVQVRDgM-I1_-7kW/edit/oaHdS.jpg?t=175996390049",0,TX
2000,Porsche,996 911,89800,Clean,"Miami, FL 33186",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Speed Yellow,Black,6,23123,10/10/25,https://carsandbids.com/auctions/365BXwlz/2000-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9004500a220bf3a3d455d15ee052cf8c332606f8/photos/3BqdJWb6-XoMV-BI/edit/10BgE.jpg?t=175941477773",0,FL
2001,Porsche,996 911,99000,Clean,"Denver, CO 80204",3.4L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Black,Black,0,23750,10/3/25,https://carsandbids.com/auctions/rjjO65ko/2001-porsche-911-carrera-4-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/exterior/3L76RAR7-D8n_EIW/edit/CuK6Q.jpg?t=175857066934",0,CO
1999,Porsche,996 911,108800,Clean,"La Mesa, CA 91941",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Black,Black,16,22498,10/2/25,https://carsandbids.com/auctions/KPM8YEma/1999-porsche-911-carrera-4-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/exterior/9QXy5Z8x-WdxJN6J/edit/zQfZ8.jpg?t=175873101520",0,CA
2000,Porsche,996 911,94200,Clean,"Henderson, NV 89014",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Ocean Blue Metallic,Savanna Beige,2,18500,9/26/25,https://carsandbids.com/auctions/377m1QQ0/2000-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9004500a220bf3a3d455d15ee052cf8c332606f8/photos/exterior/Kda6eDvB-UMW9OIp/edit/MlbBA.jpg?t=175808391975",0,NV
2000,Porsche,996 911,37500,Clean,"Loveland, CO 80538",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Mirage Metallic,Grey,0,38200,9/24/25,https://carsandbids.com/auctions/rkqawLdQ/2000-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/exterior/KY0JRo15-n5CLlpP/edit/l4mG9.jpg?t=175769579560",0,CO
2004,Porsche,996 911,92700,Clean,"Conshohocken, PA 19428",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Basalt Black Metallic,Black,3,23250,9/23/25,https://carsandbids.com/auctions/3pqYbapd/2004-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/4822e9034b0b6b357b3f73fabdfc10e586c36f68/photos/exterior/9A55Xbl8-7mvHEm6/edit/Ulpby.jpg?t=175745226699",0,PA
2004,Porsche,996 911,72100,Clean,"Tampa, FL 33605",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Basalt Black Metallic,Brown,7,23250,9/23/25,https://carsandbids.com/auctions/rNM1j6Dw/2004-porsche-911-targa,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/39ba75f9b610a05237adc3ca976891cd48f5832c/photos/exterior/KVQ7mx1P-IPKpqgB/edit/FyWs0.jpg?t=175743754612",0,FL
1999,Porsche,996 911,72200,Clean,"Granite Bay, CA 95746",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Convertible,Blue,Grey,2,15996,9/22/25,https://carsandbids.com/auctions/3gnB8lJR/1999-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/1477bbe21e8d6b5e719c7c3ccab577fd47dd8cc3/photos/rkGlg28W-VooAB41/edit/6Ifgc.jpg?t=175571704541",0,CA
1999,Porsche,996 911,42700,Clean,"Loveland, CO 80538",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver Metallic,Boxster Red,4,48000,9/17/25,https://carsandbids.com/auctions/9Q5g7nwk/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/3yvkZVYw-GjHpvmS/edit/_Uizr.jpg?t=175708484459",0,CO
2003,Porsche,996 911,117100,Clean,"Huntington Woods, MI 48070",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Black,Black,11,34400,9/10/25,https://carsandbids.com/auctions/r4dwjGqk/2003-porsche-911-carrera-4s-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/30eaf80ceaa3b7a461a21047b172db29a6c3daa6/photos/exterior/35vbGkWj-ZLNQ5LA/edit/j-TH-.jpg?t=175642857622",0,MI
1999,Porsche,996 911,103000,Clean,"Lawrenceville, GA 30044",3.4L Flat-6,4WD/AWD,Automatic (5-Speed),Coupe,Arctic Silver,Gray,0,16400,9/10/25,https://carsandbids.com/auctions/3oB8JMw9/1999-porsche-911-carrera-4-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/20309e251cb7341d1fb94cb5d4546882260d2202/photos/rJ5gEN4w-ebrv6JbjWO/edit/mfbBZ.jpg?t=175648133211",0,GA
2004,Porsche,996 911,102400,Clean,"Elgin, AZ 85611",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Seal Grey Metallic,Black,0,20000,9/9/25,https://carsandbids.com/auctions/374oQwND/2004-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/f50baa0fded5bb62b35f8553a743bb81347efcf4/photos/exterior/9ldJG80E-uwtbyoK/edit/CnBuh.jpg?t=175604926835",0,AZ
2004,Porsche,996 911,29000,Clean,"Orlando, FL 32820",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Black,0,26500,9/8/25,https://carsandbids.com/auctions/rN01Mx5P/2004-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/1477bbe21e8d6b5e719c7c3ccab577fd47dd8cc3/photos/other/37eA4kDZ-FgdlbZW/edit/NAeZd.jpg?t=175574869400",0,FL
1999,Porsche,996 911,99100,Clean,"Toronto, ON, Canada",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Silver,Black,20,46500,9/8/25,https://carsandbids.com/auctions/rjz7eval/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/4822e9034b0b6b357b3f73fabdfc10e586c36f68/photos/other/rjBZEOXx-FjMhQi0/edit/1-tDK.jpg?t=175622119184",0,ON
2002,Porsche,996 911,17800,Clean,"Shakopee, MN 55379",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Arctic Silver,Black,4,80996,9/8/25,https://carsandbids.com/auctions/9AA4QQyz/2002-porsche-911-turbo-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/exterior/rMgexmQk-kF7xjrU/edit/5BuuB.jpg?t=175631274740",1,MN
1999,Porsche,996 911,155300,Clean,"Brooklyn, NY 11221",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Black,11,18500,9/5/25,https://carsandbids.com/auctions/37eonwVA/1999-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/exterior/rkEnR7WN-MtwZryg/edit/34h7d.jpg?t=175625907070",0,NY
1999,Porsche,996 911,60700,Clean,"Denver, CO 80211",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Ocean Blue Metallic,Savannah Beige,6,30996,9/3/25,https://carsandbids.com/auctions/KmadQ2w0/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8e6341e27a680ffab7d98e42bef83b0dd1b0fb94/photos/KDjmvE09-7M6irQvZp6/edit/wsRBZ.jpg?t=175453903702",0,CO
2002,Porsche,996 911,34600,Clean,"Denver, CO 80210",3.6L Flat-6,4WD/AWD,Automatic (5-Speed),Convertible,Lapis Blue Metallic,Graphite Grey,0,24751,8/13/25,https://carsandbids.com/auctions/K1AOPp4x/2002-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/e97164ee86c3a6ee5aaab17d395d231e5ea329d3/photos/rk6mQ5nk-vb_yQWp5p9.jpg?t=174801897235",0,CO
1999,Porsche,996 911,60500,Clean,"Reno, NV 89511",3.4L Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Arctic Silver,Black,5,33000,8/12/25,https://carsandbids.com/auctions/9n2GL8LJ/1999-porsche-911-carrera-4-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/3RZvZ7wq-_ZVh631/edit/GG75a.jpg?t=175401431742",0,NV
2000,Porsche,996 911,91300,Clean,"Lynnwood, WA 98036",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Ocean Blue Metallic,Graphite Grey,3,11351,8/8/25,https://carsandbids.com/auctions/rxyaNooB/2000-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/4822e9034b0b6b357b3f73fabdfc10e586c36f68/photos/application/s-3ZAOxYA/edit/E0TUV.jpg?t=175382253899",0,WA
2002,Porsche,996 911,46900,Clean,"Voorheesville, NY 12186",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver Metallic,Black,4,32250,8/7/25,https://carsandbids.com/auctions/9Al4GlQw/2002-porsche-911-targa,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c90d8216a8bf103048db7cf88cd07946ede17b22/photos/exterior/rGjzRppo-nFcrtBP/edit/T4aXG.jpg?t=175333890822",0,NY
